show_id,title,director,rating,type,date_added,release_year,description
s6133,The Binding,Domenico de Feudis,TV-MA,Movie,2020-10-02,2020,"While visiting her fiancé''s mother in southern Italy, a woman must fight the mysterious and malevolent curse intent on claiming her daughter."
s6136,The Bittersweet,D Ho,TV-MA,Movie,2017-11-01,2017,"As a killer stalks the streets, a troubled young courier suspects that a doctor may be the long-lost sister he hasn''t seen since childhood."
s6137,The Black Godfather,Reginald Hudlin,TV-MA,Movie,2019-06-07,2019,"This documentary follows the life of Clarence Avant, the ultimate, uncensored mentor and behind-the-scenes rainmaker in music, film, TV and politics."
s6138,The Black Prince,Kavi Raz,PG-13,Movie,2018-10-03,2017,"After being exiled to England as a child, a Punjabi prince struggles to return to his homeland and his Sikh faith in this historical drama."
s6139,The Black Room,Rolfe Kanefsky,TV-MA,Movie,2017-08-07,2016,A couple's new dream home morphs into a nightmare after they learn that an evil and lustful spirit resides in their basement.
s6140,The Blackcoat's Daughter,Osgood Perkins,R,Movie,2019-05-18,2015,"When their parents fail to pick them up for winter break, two students stay on at an all-girls boarding school in the company of a terrible presence."
s6142,The Blazing Sun,Youssef Chahine,TV-14,Movie,2020-06-18,1954,Competition between sugar cane producers turns deadly after a greedy landlord conspires against an agricultural engineer who falls for his daughter.
s6143,The Bleeder,Philippe Falardeau,R,Movie,2019-03-29,2016,"Husband. Father. Fighter. Meet Chuck Wepner, the liquor salesman and self-proclaimed real-life inspiration behind Rocky Balboa."
s6145,The Blind Christ,Christopher Murray,TV-MA,Movie,2017-08-01,2016,A man claiming he had a divine revelation as a child treks across the Chilean desert to perform a miracle on a friend badly injured in a remote town.
s6146,The Bling Lagosians,Bolanle Austen-Peters,TV-14,Movie,2019-10-11,2019,"With a matriarch bent on having a lavish 51st birthday party, her family''s debt is on the verge of exposure, threatening their business – and legacy."
s6147,The Bling Ring,Sofia Coppola,R,Movie,2020-01-18,2013,"Based on fact, this comic thriller tracks the saga of the Hollywood Hills Burglar Bunch, who used the Web to time their robberies of stars'' homes."
s6148,The Blue Elephant 2,Marwan Hamed,TV-14,Movie,2020-09-20,2019,"When a former criminal psychiatrist discovers that a patient holds a secret that threatens his family, he must resort to extreme measures to save them."
s6149,The Blue Planet: A Natural History of the Oceans,Alastair Fothergill,TV-G,TV Show,2015-10-10,2001,"David Attenborough narrates this definitive exploration of the marine world, from the familiar to the unknown, revealing the sea and its communities."
