show_id,actor_id,genre_id,country_id
s2926,11049,1,1
s2926,11050,1,1
s2926,11051,1,1
s2926,11052,1,1
s2926,11053,1,1
s2926,11054,1,1
s2926,11055,1,1
s2926,11056,1,1
s6785,11135,1,1
s6058,11238,1,1
s3024,11342,1,1
s3024,11343,1,1
s3024,11344,1,1
s3024,11345,1,1
s3024,11346,1,1
s3024,11347,1,1
s3024,11348,1,1
s6785,11437,1,1
s5158,12466,1,1
s3640,12891,1,1
s3640,12892,1,1
s3640,12893,1,1
s3640,12894,1,1
s3640,12895,1,1
s3640,12896,1,1
s3640,12897,1,1
s3640,12898,1,1
s3702,13048,1,1
s3702,13049,1,1
s3702,13050,1,1
s3702,13051,1,1
s3723,13127,1,1
s3723,13128,1,1
s3723,13129,1,1
s3723,13130,1,1
s3723,13131,1,1
s3723,13132,1,1
s3723,13133,1,1
s3723,13134,1,1
s5161,13134,1,1
s3723,13135,1,1
s3723,13136,1,1
s5527,13427,1,1
s4493,13433,1,1
s4005,13860,1,1
s4005,13861,1,1
s4005,13862,1,1
s4005,13863,1,1
s4005,13864,1,1
s4005,13865,1,1
s4005,13866,1,1
s4005,13867,1,1
s4005,13868,1,1
s4005,13869,1,1
s6785,14146,1,1
s4255,14521,1,1
s4255,14522,1,1
s4255,14523,1,1
s4819,14656,1,1
s5491,14773,1,1
s4493,15108,1,1
s6690,15108,1,1
s4493,15109,1,1
s4493,15110,1,1
s4493,15111,1,1
s4493,15112,1,1
s4493,15113,1,1
s4493,15114,1,1
s4493,15115,1,1
s4493,15116,1,1
s4493,15117,1,1
s6058,15117,1,1
s4493,15118,1,1
s6785,15660,1,1
s4750,15782,1,1
s4750,15783,1,1
s7691,15783,1,1
s4750,15784,1,1
s4750,15785,1,1
s4750,15786,1,1
s4750,15787,1,1
s4819,15974,1,1
s4819,15975,1,1
s4819,15976,1,1
s4819,15977,1,1
s4819,15978,1,1
s4819,15979,1,1
s5882,16606,1,1
s7096,16693,1,1
s7691,16693,1,1
s5158,16770,1,1
s5158,16771,1,1
s5158,16772,1,1
s5158,16773,1,1
s5161,16785,1,1
s5161,16786,1,1
s5161,16787,1,1
s5161,16788,1,1
s5161,16789,1,1
s5161,16790,1,1
s5161,16791,1,1
s5190,16890,1,1
s5190,16891,1,1
s5190,16892,1,1
s5190,16893,1,1
s5190,16894,1,1
s5882,17074,1,1
